,labels,sale_factor_count,rejected_factor_count,factor_product_average,factor_rows_average,factor_amount_average,factor_amount_product_average,customer_income_average,gross_sale,factor_product_count,factor_product_weight,factor_commisions,pure_factor_counts,pure_gross_sale,gross_rejected,pure_sale,rejected_product_count,pure_product_count,rejedted_product_weight,pure_product_weight,users_count,new_users_count,old_users_count,percent_users,percent_rejected_count,percent_rejected_amount,sum_discount,gross_new_users
0,,35,7,2.857142857142857,2.5714285714285716,169397.14285714287,59967.0,206390.32258064515,5928900,100,33360,0,28,6398100,469200,5928900,11,111,2910,36270,31,31,0,0.0,0.11,0.07913778272529474,0,5928900
1,در معرض خطر,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0
2,به سوی وفاداری,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0
3,رویگردانان,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0
4,خواب زمستانی,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0
5,خواب آلود,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0
6,تازه وارد,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0
7,امیدوارکننده,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0
8,وفادار,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0
9,نیازمند توجه,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0
10,قهرمان,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0
11,از دست ندهید,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0
12,غیر فعال,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0
