,بازه زمانی,فروش ناخالص,درآمد از مشتریان جدید,سهم مشتریان جدید از کل درآمد
0,کل,5928900,5802900,0.9787481657643071
1,ماه 0,0,0,0.0
2,ماه 1,0,0,0.0
3,ماه 2,0,0,0.0
4,ماه 3,0,0,0.0
5,ماه 4,0,0,0.0
6,ماه 5,0,0,0.0
7,ماه 6,0,0,0.0
8,ماه 7,0,0,0.0
9,ماه 8,0,0,0.0
10,ماه 9,99000,99000,0.0166978697566159
11,ماه 10,1003500,1003500,0.16925567980569753
12,ماه 11,4826400,4700400,0.7927946162019937
13,ماه 12,0,0,0.0
14,ماه 13,0,0,0.0
15,ماه 14,0,0,0.0
16,ماه 15,0,0,0.0
17,ماه 16,0,0,0.0
18,ماه 17,0,0,0.0
19,ماه 18,0,0,0.0
20,ماه 19,0,0,0.0
21,ماه 20,0,0,0.0
22,ماه 21,0,0,0.0
23,ماه 22,0,0,0.0
24,ماه 23,0,0,0.0
25,ماه 24,0,0,0.0
26,ماه 25,0,0,0.0
27,ماه 26,0,0,0.0
28,ماه 27,0,0,0.0
29,ماه 28,0,0,0.0
30,ماه 29,0,0,0.0
31,ماه 30,0,0,0.0
32,ماه 31,0,0,0.0
33,ماه 32,0,0,0.0
34,ماه 33,0,0,0.0
35,ماه 34,0,0,0.0
36,ماه 35,0,0,0.0
37,ماه 36,0,0,0.0
