,labels,sale_factor_count,rejected_factor_count,factor_product_average,factor_rows_average,factor_amount_average,factor_amount_product_average,customer_income_average,gross_sale,factor_product_count,factor_product_weight,factor_commisions,pure_factor_counts,pure_gross_sale,gross_rejected,pure_sale,rejected_product_count,pure_product_count,rejedted_product_weight,pure_product_weight,users_count,new_users_count,old_users_count,percent_users,percent_rejected_count,percent_rejected_amount,sum_discount,gross_new_users
0,,0,7,,,,43320.0,67028.57142857143,,0,0,0,-7,469200,469200,,11,11,2910,36270,7,7,0,0.0,0.0,0.0,0,0
1,خواب آلود,4,0,1.0,1.0,80300.0,80300.0,80300.0,321200.0,4,1620,0,4,321200,0,321200.0,0,4,0,0,4,4,0,0.0,0.0,0.0,0,321200
2,تازه وارد,2,0,2.0,2.0,84150.0,42075.0,84150.0,168300.0,4,1560,0,2,168300,0,168300.0,0,4,0,0,2,2,0,0.0,0.0,0.0,0,168300
3,قهرمان,7,0,1.5714285714285714,1.5714285714285714,108200.0,68854.54545454546,252466.66666666666,757400.0,11,4970,0,7,757400,0,757400.0,0,11,0,0,3,3,0,0.0,0.0,0.0,0,757400
4,وفادار,6,0,2.0,1.6666666666666667,86966.66666666667,45340.0,260900.0,521800.0,12,2380,0,6,521800,0,521800.0,0,12,0,0,2,2,0,0.0,0.0,0.0,0,521800
5,در معرض خطر,4,0,2.0,1.5,168750.0,90000.0,337500.0,675000.0,8,1400,0,4,675000,0,675000.0,0,8,0,0,2,2,0,0.0,0.0,0.0,0,675000
6,به سوی وفاداری,2,0,1.0,1.0,33750.0,33750.0,67500.0,67500.0,2,270,0,2,67500,0,67500.0,0,2,0,0,1,1,0,0.0,0.0,0.0,0,67500
7,خواب زمستانی,1,0,1.0,1.0,135000.0,135000.0,135000.0,135000.0,1,400,0,1,135000,0,135000.0,0,1,0,0,1,1,0,0.0,0.0,0.0,0,135000
8,رویگردانان,3,0,1.0,1.0,64500.0,64500.0,64500.0,193500.0,3,550,0,3,193500,0,193500.0,0,3,0,0,3,3,0,0.0,0.0,0.0,0,193500
9,امیدوارکننده,6,0,9.166666666666666,8.166666666666666,514866.6666666667,59738.77551020408,514866.6666666667,3089200.0,55,20210,0,6,3089200,0,3089200.0,0,55,0,0,6,6,0,0.0,0.0,0.0,0,3089200
10,نیازمند توجه,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0
11,از دست ندهید,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0
12,غیر فعال,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0
